id	name	valenceRank	arousalRank	valenceValue	arousalValue	valenceVariance	arousalVariance
0	ACCEDE00000.mp4	3755	787	2.81398389263	1.36654963512	0.197939608015	0.144121087253
1	ACCEDE00001.mp4	6711	6428	3.34739317736	2.79190415596	0.199892143961	0.148621359013
2	ACCEDE00002.mp4	5043	3591	2.98139804653	1.84076036254	0.195830697207	0.151289576004
3	ACCEDE00003.mp4	7584	5615	3.27949684943	2.47049124291	0.17448257556	0.160281290787
4	ACCEDE00004.mp4	5014	4463	2.98314061477	2.08205005435	0.199350035951	0.162548355758
5	ACCEDE00005.mp4	3098	2921	2.54752971244	1.68617592893	0.209371813119	0.13713067873
6	ACCEDE00006.mp4	8492	6256	3.40717996137	2.72071942402	0.192530640654	0.151543838208
7	ACCEDE00007.mp4	6413	2737	3.37215669115	1.64814363019	0.188185686222	0.133018832477
8	ACCEDE00008.mp4	6817	3895	3.30861508887	1.91967476833	0.203483810841	0.156362629901
9	ACCEDE00009.mp4	4558	2969	3.0095473811	1.69640912535	0.201699876023	0.138207570545
10	ACCEDE00010.mp4	5994	1123	3.20990008786	1.39867825706	0.179640699326	0.129092423882
11	ACCEDE00011.mp4	4299	4700	2.9883464887	2.1554695772	0.200622151667	0.163719931113
12	ACCEDE00012.mp4	7002	562	3.24093634954	1.34872571119	0.195129063614	0.157758633768
13	ACCEDE00013.mp4	6928	7706	3.26800784527	3.37539961152	0.200752097989	0.131184123764
14	ACCEDE00014.mp4	6669	8107	3.36275808034	3.57892706581	0.196739249713	0.133733254236
15	ACCEDE00015.mp4	1105	2881	1.78591984239	1.67773750644	0.197415593155	0.136234537658
16	ACCEDE00016.mp4	3458	886	2.72191781883	1.37533795565	0.221662248705	0.139004194387
17	ACCEDE00017.mp4	3956	1719	2.91098251191	1.47318388311	0.180782867423	0.118806798209
18	ACCEDE00018.mp4	8930	16	3.37710551401	1.31811254179	0.181616076993	0.201661113114
19	ACCEDE00019.mp4	9274	2440	3.4915525429	1.59098398593	0.185752342894	0.126727522383
20	ACCEDE00020.mp4	3782	4527	2.82033921176	2.10154862403	0.193627806671	0.162951059367
21	ACCEDE00021.mp4	3446	4765	2.71751943397	2.1761869021	0.221867820017	0.16388767307
22	ACCEDE00022.mp4	7007	7749	3.23910719442	3.39673087616	0.194632871356	0.131147669107
23	ACCEDE00023.mp4	4952	4792	2.98686610549	2.18486610183	0.205347962607	0.163937879503
24	ACCEDE00024.mp4	5597	555	3.08871494761	1.34821926951	0.208223329232	0.158225865693
25	ACCEDE00025.mp4	472	9683	1.53755933685	4.47227352776	0.165296642946	0.221342553702
26	ACCEDE00026.mp4	1104	8824	1.78525249516	3.96705877535	0.197300934446	0.157860162647
27	ACCEDE00027.mp4	3625	2489	2.77658537339	1.60005459094	0.213415726545	0.12770923376
28	ACCEDE00028.mp4	4755	5189	2.9987035518	2.3176349159	0.211996447175	0.163433256818
29	ACCEDE00029.mp4	3775	4256	2.81869153643	2.02065262838	0.194790717513	0.16083547414
30	ACCEDE00030.mp4	941	3103	1.6802025474	1.72558552199	0.170607429906	0.141208125994
31	ACCEDE00031.mp4	1011	1415	1.72369247061	1.43245795431	0.183970263239	0.121565239516
32	ACCEDE00032.mp4	5425	4533	3.090816462	2.10338904953	0.209035233784	0.162985549965
33	ACCEDE00033.mp4	6887	1515	3.28300691723	1.44526068396	0.202537960369	0.120129710628
34	ACCEDE00034.mp4	4077	5741	2.95935490757	2.51781310193	0.187403970237	0.158899377831
35	ACCEDE00035.mp4	504	867	1.54573662381	1.3736094205	0.17049229414	0.139940558377
